Rank,Operator,Count,Ratio
1,TA505,395,10.90%
2,AKIRA,346,9.60%
3,Qilin,322,8.90%
4,RansomHub,236,6.50%
5,PLAY,205,5.70%
6,Safepay,196,5.40%
7,Lynx,161,4.40%
8,Inc,135,3.70%
9,Medusa,100,2.80%
10,KillSec,89,2.50%
11,Babuk 2.0,73,2.00%
12,NightSpire,73,2.00%
13,DragonForce,71,2.00%
14,FOG,68,1.90%
15,Sarcoma,58,1.60%
16,Cactus,53,1.50%
17,Hunters International,48,1.30%
18,Rhysida,48,1.30%
19,LockBit,40,1.10%
20,LeakedData,38,1.00%
21,Devman,36,1.00%
22,BianLian,32,0.90%
23,Kairos,29,0.80%
24,Interlock,29,0.80%
25,Space Bears,29,0.80%
26,WorldLeaks,29,0.80%
27,Arcus Media,27,0.70%
28,Stormous,27,0.70%
29,RALord,26,0.70%
30,Frag,26,0.70%
31,Everest,25,0.70%
32,8Base,24,0.70%
33,Handala,24,0.70%
34,El Dorado,23,0.60%
35,JGroup,20,0.60%
36,Monti,20,0.60%
37,Cicada3301,20,0.60%
38,FSociety,19,0.50%
39,ThreeAM,18,0.50%
40,HelloGookie,18,0.50%
41,Global,16,0.40%
42,Dire Wolf,15,0.40%
43,Crypto24,15,0.40%
44,Termite,14,0.40%
45,Gunra,13,0.40%
46,Leaknet Blog,13,0.40%
47,BASHE,13,0.40%
48,Cloak,12,0.30%
49,Weyhro,12,0.30%
50,HellCat,12,0.30%
51,Nitrogen,11,0.30%
52,RansomHouse,11,0.30%
53,Chaos,11,0.30%
54,Apos Security,11,0.30%
55,DataCarry,10,0.30%
56,Crazyhunter,10,0.30%
57,BrainCipher,10,0.30%
58,Embargo,9,0.20%
59,ANUBIS,9,0.20%
60,Abyss,9,0.20%
61,BlackSuit,9,0.20%
62,VanHelsing,9,0.20%
63,TeamXXX,8,0.20%
64,BlackBasta,8,0.20%
65,IMNCrew,8,0.20%
66,Run Some Wares,7,0.20%
67,Kawa4096,6,0.20%
68,AiLock,6,0.20%
69,Silent,6,0.20%
70,Skira,5,0.10%
71,Morpheus,5,0.10%
72,MedusaLocker,5,0.10%
73,GD LockerSec,5,0.10%
74,Underground,4,0.10%
75,Toufan,4,0.10%
76,Arkana Security,4,0.10%
77,Bert,4,0.10%
78,Metaencryptor,4,0.10%
79,Nova,4,0.10%
80,CiphBit,2,0.10%
81,MoneyMessage,2,0.10%
82,GDSec,2,0.10%
83,TCR Team,2,0.10%
84,RansomEXX,2,0.10%
85,Blackout,2,0.10%
86,DarkVault,2,0.10%
87,Orca,2,0.10%
88,Dunghill Leak,1,0.00%
89,IMN Crew,1,0.00%
90,BlackLock,1,0.00%
91,OX Thief,1,0.00%
