Date,User ID / Telegram,Related Group/Ransomware,Description
2025.1.30,@ambassador,A1project,"2025-01-30, RAMP 포럼에서 활동하는 @ambassador 유저가 ""A1project Ransomware.""라는 제목의 게시글을 업로드함."
2025.2.3,@BabukOffice,Babuk,"Breachforums 포럼에서 활동하는 @BabukOffice 유저가 ""? Become a Babuk Affiliate – Earn Big, Live Bigger!""라는 제목의 게시글을 업로드함"
2025.2.19,@RTM,RTM,"RAMP 포럼에서 활동하는 @RTM 유저가 ""RTM Team [RaaS] Windows \ Linux \ ESXi \ NAS \ BSD""라는 제목의 게시글을 업로드함."
2025.2.23,@superSonic,Anubis,"RAMP 포럼에서 활동하는 @superSonic 유저가 ""◤◤◤ DATA RANSOM + RANSOMWARE | ANUBIS""라는 제목의 게시글을 업로드함."
2025.3.7,@VanHelsingRAAS,VanHelsing,"RAMP 포럼에서 활동하는 @VanHelsingRAAS 유저가 ""VanHelsingRAAS""라는 제목의 게시글을 업로드함"
2025.3.11,@$$$,MAMONA R.I.P,"RAMP 포럼에서 활동하는 @$$$ 유저가 ""MAMONA R.I.P""라는 제목의 게시글을 업로드함."
2025.3.13,@hades_hgs,Hades Leaks,"Breachforums 포럼에서 활동하는 @hades_hgs 유저가 ""Turknet - Turkiye ISP company customer db 2.8m rows""라는 제목의 게시글을 업로드함."
2025.3.19,@dragonforce ,DragonForce,RAMP 포럼에서 활동하는 @dragonforce유저가 자신들을 카르텔이라 재명명 및 Affiliate들이 브랜딩할 수 있도록 분산형 모델로 전환한다고 발표
2025.3.25,@TheShadowHacker,Pay2Key,"RAMP 포럼에서 활동하는 @TheShadowHacker 유저가 ""Pay2Key Ransomware Service Panel Access""라는 제목의 게시글을 업로드함"
2025.3.27,@ForLord,RALord,"신규 RaaS 그룹 RaLord이 RAMP 포럼에 랜섬웨어 홍보 게시글을 업로드하고, 팀원 모집 및 여러 onion 사이트 운영 공개"
2025.4.1,@Amlexo,-,"Breachforums 포럼에서 활동하는 @Amlexo 유저가 ""[45k]Selling Ransomware Panel Sourcecode""라는 제목의 게시글을 업로드함."
2025.4.2,@dragonforce,DragonForce,"RAMP 포럼에서 활동하는 @dragonforce 유저가 ""The DragonForce Ransomware Cartel - аналогов нет! Windows, ESXi, BSD, NAS, Linux.""라는 제목의 게시글을 업로드함."
,,RansomHub,
2025.4.11,@krasnyylotos,-,"RAMP 포럼에서 활동하는 @krasnyylotos 유저가 ""ransomware development !""라는 제목의 게시글을 업로드함."
2025.4.11,@krasnyylotos,-,"RAMP 포럼에서 활동하는 @krasnyylotos 유저가 ""ransomware development !""라는 제목의 게시글을 업로드함."
2025.4.12,@Haise,Qilin,"RAMP 포럼에서 활동하는 @Haise 유저가 ""Qilin RaaS""라는 제목의 게시글을 업로드함."
