Rank,Industry,Count,Ratio
1,Business Services,582,16.20%
2,Manufacturing,502,13.90%
3,Retail,358,9.90%
4,Construction,227,6.30%
5,Finance,153,4.20%
6,Law Firms & Legal services,130,3.60%
7,Education,118,3.30%
8,Transportation,113,3.10%
9,Software,111,3.10%
10,Healthcare,104,2.90%
11,Hospitality,95,2.60%
12,Government,92,2.60%
13,Medical,78,2.20%
14,Commercial,77,2.10%
15,Infrastructures,73,2.00%
16,Real Estate,72,2.00%
17,Consumer Services,70,1.90%
18,Organizations,60,1.70%
19,Technology,52,1.40%
20,Insurance,47,1.30%
21,Telecommunications,42,1.20%
22,Media,42,1.20%
23,Engineering,32,0.90%
24,Logistics,24,0.70%
25,Energy,23,0.60%
26,Agriculture,20,0.60%
27,Law Firms & Legal Services,19,0.50%
28,Banking,18,0.50%
29,Food Services,16,0.40%
30,"Energy, Utilities & Waste Treatment",16,0.40%
31,Schools,16,0.40%
32,Electricity,14,0.40%
33,Mining,13,0.40%
34,Automotive,12,0.30%
35,Research,11,0.30%
36,Advertising,11,0.30%
37,Airlines,10,0.30%
38,Consulting,10,0.30%
39,Chemical,8,0.20%
40,NGOs,7,0.20%
41,Sports,6,0.20%
42,Aerospace,6,0.20%
43,Entertainment,6,0.20%
44,IT,6,0.20%
45,Gambling,5,0.10%
46,Military,5,0.10%
47,Public,5,0.10%
48,Utilities,4,0.10%
49,Media & Internet,4,0.10%
50,Pharmaceuticals,3,0.10%
51,ISPs,2,0.10%
52,Gaming,2,0.10%
53,Cosmetic,1,0.00%
54,Cryptocurrency,1,0.00%
55,Metals & Mining,1,0.00%
56,Information Security,1,0.00%
57,Manfacturing,1,0.00%
58,Infrastructure,1,0.00%
59,Maritime,1,0.00%
60,Religion,1,0.00%
61,Security,1,0.00%
